State ;Air Carrier;Flight type;Stage Type;Year;Mth(s);Passengers Carried;Passenger-km performed;Seat-km available;Passenger load factor
UNITED KINGDOM;AURIGNY;Scheduled flight;International flights;2010;12;8458;1566;2603;60.2%
UNITED KINGDOM;BMI REGIONAL;Scheduled flight;International flights;2010;12;182439;150001;264631;56.7%
UNITED KINGDOM;BRITISH AIRWAYS;Scheduled flight;International flights;2010;12;25973268;103187480;132536877;77.9%
UNITED KINGDOM;BRITISH MIDLAND;Scheduled flight;International flights;2010;12;1546460;3670933;5505042;66.7%
UNITED KINGDOM;EASTERN AIRWAYS;Scheduled flight;International flights;2010;12;31427;16268;45863;35.5%
UNITED KINGDOM;FLYBE.BRITISH EUROPEAN;Scheduled flight;International flights;2010;12;1800391;1323306;2144839;61.7%
UNITED KINGDOM;MONARCH AIRLINES;Scheduled flight;International flights;2010;12;3691355;8011271;9472177;84.6%
UNITED KINGDOM;VIRGIN ATLANTIC;Scheduled flight;International flights;2010;12;5293293;38135064;46195821;82.6%
UNITED KINGDOM;ASTRAEUS LTD;Scheduled flight;International flights;2010;12;503228;1107629;1520962;72.8%
UNITED KINGDOM;AIR SOUTHWEST LTD;Scheduled flight;International flights;2010;12;2606;8875;1579;56.2%
UNITED KINGDOM;BMIBABY LTD;Scheduled flight;International flights;2010;12;1583593;1920704;2495978;77.0%
UNITED KINGDOM;JET2.COM LTD;Scheduled flight;International flights;2010;12;3016284;5806781;6648873;87.3%
UNITED KINGDOM;BA CITYFLYER;Scheduled flight;International flights;2010;12;442803;34156;5369;63.6%
UNITED KINGDOM;THOMAS COOK AIRLINES;Scheduled flight;International flights;2010;12;533116;3399097;3582880;94.9%
UNITED KINGDOM;BLUE ISLANDS LIMITED;Scheduled flight;International flights;2010;7;8153;6312;12423;50.8%
UNITED KINGDOM;TUI Airways;Scheduled flight;International flights;2010;12;987941;3865399;4183687;92.4%
UNITED KINGDOM;EASYJET UK;Scheduled flight;International flights;2010;12;37664647;47015309;55348755;84.9%
